quarter,value,instName
1,135,Baker County
2,116,Baker County
3,119,Baker County
4,112,Baker County
5,106,Baker County
6,105,Baker County
7,88,Baker County
8,93,Baker County
9,82,Baker County
10,78,Baker County
1,528,Benton County
2,568,Benton County
3,593,Benton County
4,646,Benton County
5,645,Benton County
6,589,Benton County
7,513,Benton County
8,503,Benton County
9,478,Benton County
10,458,Benton County
1,2763,Clackamas County
2,2811,Clackamas County
3,2801,Clackamas County
4,2847,Clackamas County
5,2769,Clackamas County
6,2649,Clackamas County
7,2380,Clackamas County
8,2409,Clackamas County
9,2321,Clackamas County
10,2105,Clackamas County
1,315,Clatsop County
2,320,Clatsop County
3,322,Clatsop County
4,332,Clatsop County
5,317,Clatsop County
6,309,Clatsop County
7,275,Clatsop County
8,285,Clatsop County
9,271,Clatsop County
10,250,Clatsop County
1,511,Columbia County
2,510,Columbia County
3,505,Columbia County
4,502,Columbia County
5,487,Columbia County
6,433,Columbia County
7,376,Columbia County
8,389,Columbia County
9,361,Columbia County
10,347,Columbia County
1,819,Coos County
2,810,Coos County
3,784,Coos County
4,757,Coos County
5,718,Coos County
6,639,Coos County
7,546,Coos County
8,528,Coos County
9,478,Coos County
10,409,Coos County
1,229,Crook County
2,229,Crook County
3,213,Crook County
4,229,Crook County
5,222,Crook County
6,200,Crook County
7,176,Crook County
8,182,Crook County
9,188,Crook County
10,171,Crook County
1,405,Curry County
2,403,Curry County
3,411,Curry County
4,433,Curry County
5,390,Curry County
6,360,Curry County
7,318,Curry County
8,310,Curry County
9,302,Curry County
10,280,Curry County
1,1923,Deschutes County
2,1979,Deschutes County
3,1991,Deschutes County
4,2103,Deschutes County
5,2124,Deschutes County
6,2033,Deschutes County
7,1896,Deschutes County
8,1904,Deschutes County
9,1798,Deschutes County
10,1637,Deschutes County
1,1231,Douglas County
2,1213,Douglas County
3,1204,Douglas County
4,1245,Douglas County
5,1152,Douglas County
6,1042,Douglas County
7,957,Douglas County
8,937,Douglas County
9,876,Douglas County
10,845,Douglas County
1,59,Grant County
2,63,Grant County
3,66,Grant County
4,69,Grant County
5,67,Grant County
6,55,Grant County
7,57,Grant County
8,57,Grant County
9,54,Grant County
10,57,Grant County
1,57,Harney County
2,59,Harney County
3,57,Harney County
4,60,Harney County
5,61,Harney County
6,,Harney County
7,,Harney County
8,,Harney County
9,,Harney County
10,,Harney County
1,167,Hood River County
2,173,Hood River County
3,173,Hood River County
4,173,Hood River County
5,173,Hood River County
6,169,Hood River County
7,141,Hood River County
8,134,Hood River County
9,132,Hood River County
10,120,Hood River County
1,3293,Jackson County
2,3299,Jackson County
3,3302,Jackson County
4,3434,Jackson County
5,3226,Jackson County
6,3036,Jackson County
7,2755,Jackson County
8,2756,Jackson County
9,2612,Jackson County
10,2441,Jackson County
1,192,Jefferson County
2,191,Jefferson County
3,189,Jefferson County
4,202,Jefferson County
5,202,Jefferson County
6,212,Jefferson County
7,192,Jefferson County
8,194,Jefferson County
9,205,Jefferson County
10,187,Jefferson County
1,1892,Josephine County
2,1876,Josephine County
3,1918,Josephine County
4,2061,Josephine County
5,1957,Josephine County
6,1919,Josephine County
7,1790,Josephine County
8,1794,Josephine County
9,1742,Josephine County
10,1566,Josephine County
1,590,Klamath County
2,592,Klamath County
3,586,Klamath County
4,602,Klamath County
5,568,Klamath County
6,509,Klamath County
7,464,Klamath County
8,464,Klamath County
9,448,Klamath County
10,421,Klamath County
1,73,Lake County
2,69,Lake County
3,58,Lake County
4,52,Lake County
5,,Lake County
6,,Lake County
7,,Lake County
8,,Lake County
9,,Lake County
10,,Lake County
1,3525,Lane County
2,3666,Lane County
3,3724,Lane County
4,3864,Lane County
5,3734,Lane County
6,3484,Lane County
7,3104,Lane County
8,3028,Lane County
9,2910,Lane County
10,2638,Lane County
1,582,Lincoln County
2,614,Lincoln County
3,657,Lincoln County
4,692,Lincoln County
5,673,Lincoln County
6,689,Lincoln County
7,656,Lincoln County
8,670,Lincoln County
9,669,Lincoln County
10,651,Lincoln County
1,1133,Linn County
2,1174,Linn County
3,1201,Linn County
4,1228,Linn County
5,1189,Linn County
6,1123,Linn County
7,1029,Linn County
8,1049,Linn County
9,1010,Linn County
10,934,Linn County
1,285,Malheur County
2,303,Malheur County
3,318,Malheur County
4,332,Malheur County
5,314,Malheur County
6,280,Malheur County
7,239,Malheur County
8,259,Malheur County
9,242,Malheur County
10,222,Malheur County
1,2248,Marion County
2,2270,Marion County
3,2269,Marion County
4,2305,Marion County
5,2218,Marion County
6,2055,Marion County
7,1831,Marion County
8,1825,Marion County
9,1786,Marion County
10,1640,Marion County
1,,Morrow County
2,,Morrow County
3,,Morrow County
4,,Morrow County
5,,Morrow County
6,,Morrow County
7,,Morrow County
8,,Morrow County
9,,Morrow County
10,,Morrow County
1,6243,Multnomah County
2,6369,Multnomah County
3,6392,Multnomah County
4,6573,Multnomah County
5,6409,Multnomah County
6,5886,Multnomah County
7,5139,Multnomah County
8,5034,Multnomah County
9,4746,Multnomah County
10,4379,Multnomah County
1,623,Outside Of Oregon
2,632,Outside Of Oregon
3,673,Outside Of Oregon
4,724,Outside Of Oregon
5,745,Outside Of Oregon
6,743,Outside Of Oregon
7,584,Outside Of Oregon
8,512,Outside Of Oregon
9,347,Outside Of Oregon
10,223,Outside Of Oregon
1,236,Polk County
2,648,Polk County
3,645,Polk County
4,651,Polk County
5,617,Polk County
6,580,Polk County
7,513,Polk County
8,514,Polk County
9,508,Polk County
10,482,Polk County
1,352,Tillamook County
2,249,Tillamook County
3,243,Tillamook County
4,250,Tillamook County
5,240,Tillamook County
6,243,Tillamook County
7,232,Tillamook County
8,232,Tillamook County
9,232,Tillamook County
10,223,Tillamook County
1,216,Umatilla County
2,340,Umatilla County
3,350,Umatilla County
4,358,Umatilla County
5,325,Umatilla County
6,277,Umatilla County
7,229,Umatilla County
8,214,Umatilla County
9,207,Umatilla County
10,202,Umatilla County
1,55,Union County
2,213,Union County
3,221,Union County
4,221,Union County
5,209,Union County
6,192,Union County
7,172,Union County
8,191,Union County
9,188,Union County
10,165,Union County
1,273,Wallowa County
2,56,Wallowa County
3,55,Wallowa County
4,51,Wallowa County
5,,Wallowa County
6,,Wallowa County
7,,Wallowa County
8,,Wallowa County
9,,Wallowa County
10,,Wallowa County
1,2801,Wasco County
2,266,Wasco County
3,269,Wasco County
4,267,Wasco County
5,241,Wasco County
6,208,Wasco County
7,199,Wasco County
8,208,Wasco County
9,199,Wasco County
10,199,Wasco County
1,650,Washington County
2,2826,Washington County
3,2848,Washington County
4,2903,Washington County
5,2837,Washington County
6,2644,Washington County
7,2341,Washington County
8,2341,Washington County
9,2254,Washington County
10,2085,Washington County
1,,Yamhill County
2,648,Yamhill County
3,636,Yamhill County
4,663,Yamhill County
5,638,Yamhill County
6,633,Yamhill County
7,565,Yamhill County
8,577,Yamhill County
9,547,Yamhill County
10,477,Yamhill County
