quarter,instName,value
1,Baker County,173
2,Baker County,158
3,Baker County,161
4,Baker County,161
5,Baker County,149
6,Baker County,142
7,Baker County,116
8,Baker County,112
9,Baker County,117
10,Baker County,123
1,Benton County,691
2,Benton County,695
3,Benton County,703
4,Benton County,725
5,Benton County,690
6,Benton County,636
7,Benton County,546
8,Benton County,521
9,Benton County,478
10,Benton County,442
1,Clackamas County,3456
2,Clackamas County,3398
3,Clackamas County,3396
4,Clackamas County,3479
5,Clackamas County,3344
6,Clackamas County,3114
7,Clackamas County,2828
8,Clackamas County,2728
9,Clackamas County,2593
10,Clackamas County,2412
1,Clatsop County,446
2,Clatsop County,439
3,Clatsop County,436
4,Clatsop County,452
5,Clatsop County,421
6,Clatsop County,374
7,Clatsop County,329
8,Clatsop County,317
9,Clatsop County,283
10,Clatsop County,250
1,Columbia County,713
2,Columbia County,706
3,Columbia County,676
4,Columbia County,668
5,Columbia County,642
6,Columbia County,583
7,Columbia County,520
8,Columbia County,519
9,Columbia County,503
10,Columbia County,476
1,Coos County,1281
2,Coos County,1227
3,Coos County,1170
4,Coos County,1148
5,Coos County,1067
6,Coos County,929
7,Coos County,800
8,Coos County,747
9,Coos County,682
10,Coos County,611
1,Crook County,277
2,Crook County,282
3,Crook County,269
4,Crook County,281
5,Crook County,269
6,Crook County,245
7,Crook County,217
8,Crook County,212
9,Crook County,215
10,Crook County,198
1,Curry County,570
2,Curry County,566
3,Curry County,570
4,Curry County,584
5,Curry County,535
6,Curry County,464
7,Curry County,415
8,Curry County,388
9,Curry County,369
10,Curry County,337
1,Deschutes County,2308
2,Deschutes County,2325
3,Deschutes County,2312
4,Deschutes County,2403
5,Deschutes County,2406
6,Deschutes County,2231
7,Deschutes County,2006
8,Deschutes County,1925
9,Deschutes County,1803
10,Deschutes County,1629
1,Douglas County,1804
2,Douglas County,1768
3,Douglas County,1791
4,Douglas County,1837
5,Douglas County,1746
6,Douglas County,1637
7,Douglas County,1547
8,Douglas County,1526
9,Douglas County,1571
10,Douglas County,1516
1,Grant County,81
2,Grant County,80
3,Grant County,79
4,Grant County,74
5,Grant County,73
6,Grant County,64
7,Grant County,66
8,Grant County,67
9,Grant County,60
10,Grant County,59
1,Harney County,71
2,Harney County,76
3,Harney County,76
4,Harney County,77
5,Harney County,74
6,Harney County,55
7,Harney County,
8,Harney County,
9,Harney County,
10,Harney County,
1,Hood River County,237
2,Hood River County,248
3,Hood River County,249
4,Hood River County,247
5,Hood River County,239
6,Hood River County,217
7,Hood River County,189
8,Hood River County,186
9,Hood River County,180
10,Hood River County,165
1,Jackson County,5184
2,Jackson County,5219
3,Jackson County,5436
4,Jackson County,6070
5,Jackson County,5949
6,Jackson County,5735
7,Jackson County,5424
8,Jackson County,5364
9,Jackson County,5257
10,Jackson County,5031
1,Jefferson County,252
2,Jefferson County,231
3,Jefferson County,228
4,Jefferson County,241
5,Jefferson County,246
6,Jefferson County,238
7,Jefferson County,214
8,Jefferson County,210
9,Jefferson County,215
10,Jefferson County,197
1,Josephine County,3945
2,Josephine County,3938
3,Josephine County,4178
4,Josephine County,4893
5,Josephine County,4766
6,Josephine County,4617
7,Josephine County,4319
8,Josephine County,4326
9,Josephine County,4428
10,Josephine County,4245
1,Klamath County,912
2,Klamath County,899
3,Klamath County,892
4,Klamath County,906
5,Klamath County,867
6,Klamath County,788
7,Klamath County,688
8,Klamath County,682
9,Klamath County,717
10,Klamath County,708
1,Lake County,82
2,Lake County,77
3,Lake County,78
4,Lake County,77
5,Lake County,74
6,Lake County,65
7,Lake County,62
8,Lake County,69
9,Lake County,77
10,Lake County,74
1,Lane County,4978
2,Lane County,5004
3,Lane County,5054
4,Lane County,5245
5,Lane County,5019
6,Lane County,4674
7,Lane County,4200
8,Lane County,4112
9,Lane County,3946
10,Lane County,3687
1,Lincoln County,770
2,Lincoln County,788
3,Lincoln County,783
4,Lincoln County,795
5,Lincoln County,747
6,Lincoln County,672
7,Lincoln County,618
8,Lincoln County,607
9,Lincoln County,560
10,Lincoln County,498
1,Linn County,1383
2,Linn County,1386
3,Linn County,1388
4,Linn County,1415
5,Linn County,1375
6,Linn County,1239
7,Linn County,1103
8,Linn County,1100
9,Linn County,1045
10,Linn County,977
1,Malheur County,376
2,Malheur County,395
3,Malheur County,435
4,Malheur County,450
5,Malheur County,404
6,Malheur County,373
7,Malheur County,327
8,Malheur County,345
9,Malheur County,340
10,Malheur County,327
1,Marion County,2563
2,Marion County,2517
3,Marion County,2462
4,Marion County,2476
5,Marion County,2388
6,Marion County,2146
7,Marion County,1934
8,Marion County,1881
9,Marion County,1797
10,Marion County,1651
1,Morrow County,52
2,Morrow County,
3,Morrow County,56
4,Morrow County,61
5,Morrow County,60
6,Morrow County,54
7,Morrow County,51
8,Morrow County,
9,Morrow County,
10,Morrow County,
1,Multnomah County,7423
2,Multnomah County,7134
3,Multnomah County,7022
4,Multnomah County,7253
5,Multnomah County,6985
6,Multnomah County,6280
7,Multnomah County,5493
8,Multnomah County,5146
9,Multnomah County,4711
10,Multnomah County,4151
1,Outside Of Oregon,551
2,Outside Of Oregon,549
3,Outside Of Oregon,634
4,Outside Of Oregon,807
5,Outside Of Oregon,603
6,Outside Of Oregon,231
7,Outside Of Oregon,360
8,Outside Of Oregon,178
9,Outside Of Oregon,89
10,Outside Of Oregon,51
1,Polk County,756
2,Polk County,784
3,Polk County,781
4,Polk County,812
5,Polk County,759
6,Polk County,668
7,Polk County,604
8,Polk County,607
9,Polk County,601
10,Polk County,550
1,Tillamook County,385
2,Tillamook County,374
3,Tillamook County,351
4,Tillamook County,370
5,Tillamook County,355
6,Tillamook County,320
7,Tillamook County,293
8,Tillamook County,273
9,Tillamook County,256
10,Tillamook County,240
1,Umatilla County,427
2,Umatilla County,421
3,Umatilla County,431
4,Umatilla County,425
5,Umatilla County,396
6,Umatilla County,357
7,Umatilla County,312
8,Umatilla County,300
9,Umatilla County,282
10,Umatilla County,274
1,Union County,263
2,Union County,263
3,Union County,260
4,Union County,255
5,Union County,256
6,Union County,235
7,Union County,213
8,Union County,224
9,Union County,219
10,Union County,192
1,Wallowa County,88
2,Wallowa County,91
3,Wallowa County,91
4,Wallowa County,90
5,Wallowa County,82
6,Wallowa County,77
7,Wallowa County,62
8,Wallowa County,59
9,Wallowa County,54
10,Wallowa County,50
1,Wasco County,323
2,Wasco County,310
3,Wasco County,308
4,Wasco County,313
5,Wasco County,295
6,Wasco County,262
7,Wasco County,245
8,Wasco County,260
9,Wasco County,247
10,Wasco County,232
1,Washington County,2912
2,Washington County,2796
3,Washington County,2692
4,Washington County,2737
5,Washington County,2695
6,Washington County,2448
7,Washington County,2146
8,Washington County,2043
9,Washington County,1888
10,Washington County,1691
1,Yamhill County,817
2,Yamhill County,794
3,Yamhill County,796
4,Yamhill County,818
5,Yamhill County,785
6,Yamhill County,747
7,Yamhill County,677
8,Yamhill County,684
9,Yamhill County,643
10,Yamhill County,587
